date,fiscal_year,quarter,product_number,payment_type,type_of_product,quantity,price,amount,type_of_accessory/mobile
2018-04-01,2018,1,P/A/36,CASH,ACCESSORY,1,2042.38,2542.38,COVER
2018-04-01,2018,1,P/A/47,CASH,ACCESSORY,1,2042.38,2118.64,WIRELESS HEADSET
2018-04-01,2018,1,P/M/A34,CREDIT,MOBILE,1,2042.38,13303.58,BUDGET PHONE
2018-04-01,2018,1,P/M/A42,CREDIT,MOBILE,1,2042.38,51696.43,FLAGSHIP PHONE
2018-04-01,2018,1,P/M/A42,DEBIT,MOBILE,1,2042.38,51696.42,FLAGSHIP PHONE
2018-04-01,2018,1,P/M/A43,MOBILE PAYMENTS,MOBILE,1,2042.38,57946.42,FLAGSHIP PHONE
2018-04-02,2018,1,P/M/A19,MOBILE PAYMENTS,MOBILE,1,2042.38,31241.08,PREMIUM MIDRANGE PHONE
2018-04-02,2018,1,P/M/A34,DEBIT,MOBILE,1,2042.38,13303.58,BUDGET PHONE
2018-04-02,2018,1,P/M/A43,CREDIT,MOBILE,1,2042.38,57946.42,FLAGSHIP PHONE
2018-04-03,2018,1,P/A/47,CASH,ACCESSORY,1,2042.38,2203.38,WIRELESS HEADSET
2018-04-03,2018,1,P/M/A19,MOBILE PAYMENTS,MOBILE,1,2042.38,31241.08,PREMIUM MIDRANGE PHONE
2018-04-03,2018,1,P/M/A42,CREDIT,MOBILE,1,2042.38,51696.42,FLAGSHIP PHONE
2018-04-03,2018,1,P/M/A42,DEBIT,MOBILE,1,2042.38,51696.43,FLAGSHIP PHONE
2018-04-03,2018,1,P/M/A43,CREDIT,MOBILE,1,2042.38,57946.42,FLAGSHIP PHONE
2018-04-03,2018,1,P/T/S1,MOBILE PAYMENTS,TABLET,1,2042.38,10084.74,BUDGET TABLET
2018-04-04,2018,1,P/A/47,DEBIT,ACCESSORY,1,2042.38,1906.78,WIRELESS HEADSET
2018-04-04,2018,1,P/M/A40,CREDIT,MOBILE,1,2042.38,44633.93,PREMIUM MIDRANGE PHONE
2018-04-05,2018,1,P/M/A23,DEBIT,MOBILE,1,2042.38,1258.92,BUDGET PHONE
2018-04-05,2018,1,P/M/A32,CREDIT,MOBILE,1,2042.38,12410.72,BUDGET PHONE
